"Крошка 1";"Крошка 2";"Крошка 3";Ссылка;Название;Цена;"Ед. изм.";"Изображение 1";"Изображение 2";"Изображение 3";"Изображение 4";"Изображение 5";"Изображение 6";"Изображение 7";"Изображение 8";Габариты;"базовая единица";бренд;"вес в упаковке кг";давление;"количество пистолетов";"максимальная производительность л/мин";"максимальное сопло";"максимальный расход краски";"масса без упаковки (нетто)";"масса нетто 1 упаковки кг";"масса с упаковкой (брутто)";мотор;"мощность двигателя";назначение;напряжение;"напряжение сети в";новокузнецк;"производительность л/м";"склад со основной склад грибки";"склад со челябинск";"страна изготовитель";"страна производства";Описание
"Окрасочное оборудование";"Устройства для покраски труб изнутри";;https://navsl.ru/katalog/okrasochnoe-oborudovanie/pokraska-iznutri/ustrojstvo-dlya-pokraski-truby-iznutri-nkp-4.html;"Устройство для покраски трубы изнутри NKP-4";878900.00;Руб/шт;https://navsl.ruhttps://navsl.ru/image/cache/catalog/i/ld/fk/ec122a23cdb19b1efe0550a618eac526-1000x1000.jpg;;;;;;;;-x-x-;;Aktiv;;;;;;;;;;;;;;;;;;;;Китай;"Устройство NKP-4 для покраски внутренних поверхностей труб диаметром Ø = 1200 – 3000 мм.

Для работы данного устройства также необходимо иметь окрасочный аппараты высокого давления для подачи краски и компрессор для питания пневмопривода вращения штанги.

Оборудование для нанесения покрытий на внутренние стенки трубы типа NKP-4 вместе с безвоздушным окрасочным аппаратом может использоваться для распыления внутри различных труб, внутренний диаметр которых составляет Ø = 1200 – 3000 мм.

Краска под высоким давлением от окрасочного аппарата, через окрасочный рукав поступает на устройство NKP-4, установленное внутри трубы. На устройстве смонтирован на штанге соплодержатель с установленным соплом, который с помощью пневмодвигателя вращается внутри трубы. Через установленное в соплодержатель сопло идет распыления ЛКМ.

Также на устройство можно установить стандартный соплодержатель и использовать стандартные реверсивные сопла.

Частота вращения пневмопривода штанги регулируется с помощью блока управления, который идет в комплекте с устройством.

Перемещение устройства вдоль трубы осуществляется оператором, которому необходимо тянуть устройство за рукава.
Технические характеристики

Диаметр окрашиваемой трубы, мм: 1200 – 3000;

Давление воздуха на входе, МПа: 0,4 – 0,6;
"
"Окрасочное оборудование";"Мойки для краскопультов";;https://navsl.ru/katalog/okrasochnoe-oborudovanie/moyki-dlya-kraskopultov/drester-120-ustroystvo-dlya-retsirkulyatsii-rastvoritelya.html;"Drester 120 устройство для рециркуляции растворителя";722199.00;Руб/шт;https://navsl.ruhttps://navsl.ru/image/cache/catalog/YML71b0c6a29c2eae6deaec85c4373eb273/0/IMG3ef4c8cc8f9f1b90ffc99e73f3f1472e-1000x1000.png;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;;;;;Швеция;;"Drester 120

Система рециркуляции растворителя, адаптированная для модели Dynamic Triple

• Высокое качество

• Прочная конструкция

• Возможность независимого использования

• Ex II 2 G IIA T2


Тип рециркулируемого материала растворитель

Емкость бака 12 л

Система конденсации воздушная

Материал конденсатора нерж. сталь

Время цикла 3-4 часа

Напряжение эл.сети 200-240 В

Эл.конструкция взрывоустойчивая

Размеры 59 х 120 х 161 см

Вес 67 кг
"
"Окрасочное оборудование";"Устройства для покраски труб изнутри";;https://navsl.ru/katalog/okrasochnoe-oborudovanie/pokraska-iznutri/ustrojstvo-dlya-pokraski-truby-iznutri-nkp-3-1.html;"Устройство для покраски трубы изнутри NKP-3-1";451000.00;Руб/шт;https://navsl.ruhttps://navsl.ru/image/cache/catalog/i/ap/lb/e30dda620a99f80fdde5027682e8bf5a-1000x1000.jpg;https://navsl.ruhttps://navsl.ru/image/cache/catalog/i/ap/lb/dc66eed6633805fb86aa40a07edd4541-1000x1000.jpg;;;;;;;-x-x-;;Aktiv;;;;;;;;;;;;;;;;;;;;Китай;"Устройство NKP-3 для покраски внутренних поверхностей труб диаметром Ø = 300 – 1200 мм.

Для работы данного устройства также необходимо иметь окрасочный аппараты высокого давления для подачи краски и компрессор для питания пневмопривода вращения штанги.

Оборудование для нанесения покрытий на внутренние стенки трубы типа NKP-3 вместе с безвоздушным окрасочным аппаратом может использоваться для распыления внутри различных труб, внутренний диаметр которых составляет Ø = 300 – 1200 мм (12"" – 47"").

Краска под высоким давлением от окрасочного аппарата, через окрасочный рукав поступает на устройство NKP-3, установленное внутри трубы. На устройстве смонтирован на штанге соплодержатель с установленным соплом, который с помощью пневмодвигателя вращается внутри трубы. Через установленное в соплодержатель сопло идет распыления ЛКМ.

Также на устройство можно установить стандартный соплодержатель и использовать стандартные реверсивные сопла.

Частота вращения пневмопривода штанги регулируется с помощью блока управления, который идет в комплекте с устройством.

Перемещение устройства вдоль трубы осуществляется оператором, которому необходимо тянуть устройство за рукава.
Технические характеристики

Диаметр окрашиваемой трубы, мм: 300 – 1200;

Давление воздуха на входе, МПа: 0,4 – 0,6;

Скорость вращения пневмопривода, об/мин: 10 – 100;

Общая длина, мм: 950;

Вес, кг: 18.
"
"Окрасочное оборудование";"Окрасочные аппараты";"Штукатурные станции и машины";https://navsl.ru/katalog/okrasochnoe-oborudovanie/okrasochnye-apparaty/shtukaturnie-stancii/shtukaturnaya-stantsiya-schtaer-spa-25-220-380-v.html;"Штукатурная станция Schtaer SPA-25 220/380 В";420000.00;Руб/шт;https://navsl.ruhttps://navsl.ru/image/cache/catalog/YMLeb363902d83fe3a087421be15eb77ee7/14562/IMGef732f364b23abb6bb1c5af2969c4bd8-1000x1000.jpg;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;;;1;;;;"Schtaer SPA-25 – штукатурная станция, предназначенная для непрерывного смешивания и нанесения строительных растворов. Использование штукатурной станции значительно упрощает и автоматизирует трудоемкий процесс отделки стен как внутри, так и снаружи помещений. Встроенный водяной насос позволяет получать воду непосредственно из бочки, что особенно полезно в условиях, где отсутствует доступ к водопроводной системе.


Насос способен перекачивать сухие гипсовые, известковые, цементные штукатурки, клеевые смеси, изоляционные штукатурные составы, растворы для кладки, составы для заливки швов, щелей, жидкие шпатлевки, герметики, наливные полы, стяжки пола, армирующие смеси, клеевые составы краски, пастообразные составы и другие материалы с фракцией до 5 мм.


Преимущества:


•    качественное и равномерное покрытие;

•    высокая скорость и эффективность;

•    съемный мотор и решетка для легкой очистки бункера;

•    бункер емкостью 145 л;

•    удобство при переноске и использовании;

•    разнообразие видов наносимых материалов.


Комплектация:


•    насос на тележке с бункером;

•    компрессор для воздуха;

•    шланг растворный 10 м;

•    шланг воздушный 10 м;

•    пистолет для подачи материала.


Гарантия


Гарантия на отсутствие заводского брака составляет 12 месяцев. Осуществляется гарантийный и послегарантийный ремонт, поставка запасных частей и комплектующих.
Характеристики
Артикул
SPA-25/220/380
Бренд
SCHTAER
Страна изготовитель
Китай
Максимальное давление, бар
20
Мощность двигателя, КВт
3,7
Напряжение, В
220/380V
Максимальная производительность, л/мин
30
Вес нетто, кг
220
"
"Окрасочное оборудование";"Окрасочные аппараты";"Штукатурные станции и машины";https://navsl.ru/katalog/okrasochnoe-oborudovanie/okrasochnye-apparaty/shtukaturnie-stancii/shtukaturnaya-stantsiya-schtaer-spa-25-380-v.html;"Штукатурная станция Schtaer SPA-25 380 В";388000.00;Руб/шт;https://navsl.ruhttps://navsl.ru/image/cache/catalog/YMLeb363902d83fe3a087421be15eb77ee7/14562/IMG97be3b455f5e18b1697a12bc055939c3-1000x1000.jpg;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;;;1;;;;"Schtaer SPA-25 – штукатурная станция, предназначенная для непрерывного смешивания и нанесения строительных растворов. Использование штукатурной станции значительно упрощает и автоматизирует трудоемкий процесс отделки стен как внутри, так и снаружи помещений. Встроенный водяной насос позволяет получать воду непосредственно из бочки, что особенно полезно в условиях, где отсутствует доступ к водопроводной системе.


Насос способен перекачивать сухие гипсовые, известковые, цементные штукатурки, клеевые смеси, изоляционные штукатурные составы, растворы для кладки, составы для заливки швов, щелей, жидкие шпатлевки, герметики, наливные полы, стяжки пола, армирующие смеси, клеевые составы краски, пастообразные составы и другие материалы с фракцией до 5 мм.


Преимущества:


•    качественное и равномерное покрытие;

•    высокая скорость и эффективность;

•    съемный мотор и решетка для легкой очистки бункера;

•    бункер емкостью 145 л;

•    удобство при переноске и использовании;

•    разнообразие видов наносимых материалов.


Комплектация:


•    насос на тележке с бункером;

•    компрессор для воздуха;

•    шланг растворный 10 м;

•    шланг воздушный 10 м;

•    пистолет для подачи материала.


Гарантия


Гарантия на отсутствие заводского брака составляет 12 месяцев. Осуществляется гарантийный и послегарантийный ремонт, поставка запасных частей и комплектующих.
Характеристики
Артикул
SPA-25/380
Бренд
SCHTAER
Страна изготовитель
Китай
Максимальное давление, бар
20
Мощность двигателя, КВт
3,7
Напряжение, В
380V
Максимальная производительность, л/мин
30
Вес нетто, кг
220
"
"Окрасочное оборудование";"Окрасочные аппараты";"Безвоздушные окрасочные аппараты";https://navsl.ru/katalog/okrasochnoe-oborudovanie/okrasochnye-apparaty/bezvozdushnie/okrasochnyy-apparat-dstech-p301-l303-s.html;"Окрасочный аппарат DSTech P301-L303-S";355000.00;Руб/шт;https://navsl.ruhttps://navsl.ru/image/cache/catalog/YMLeb363902d83fe3a087421be15eb77ee7/14567/IMGc3157fb7dac4d2efa53b81c4c1973826-1000x1000.jpg;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;;;4;1;;;"P301-L303-S - поршневой безвоздушный окрасочный аппарат, работающий от сжатого воздуха из компрессора. Окрасочный аппарат предназначен для промышленного применения на заводах по производству металлических конструкций, вагонных заводах, оконных и дверных фабриках, на производствах, где требуется массовая покраска однотипных изделий одной и той же краской. Окрасочный аппарат может работать круглосуточно, он охлаждается от краски. Аппарат может распылять безвоздушным способом краски на водной основе и краски на растворителях.  С жидкими красками он может работать на два маляра одновременно.


Принцип работы окрасочного аппарата


В окрасочный аппарат поступает воздух от компрессора или пневматической сети,  (для работы аппарата требуется от 2-8 бар, 700 л/мин воздуха). Краска в аппарат засасывается из ведра, в котором та поставляется, на входе во всасывающий патрубок надет фильтр от грубых примесей в краску. За счет разницы площадей верхней и нижней части насоса в 30 раз (передаточное соотношение 30:1) нагнетается давление на краску, т.е подавая 2 атм воздуха , мы получаем 60 атм краски, 3 атм воздуха - 90 атм краски, и тд. Краска на выходе из аппарата фильтруется через фильтр тонкой очистки и попадает в шланг для подачи на краскопульт. Краска на выходе из краскопульта распыляется через сопло тонкого сечения, образуя при этом четко очерченный факел.


Преимущества окрасочного аппарата:


•    низкая цена на профессиональный окрасочный аппарат по сравнению с аналогами;

•    корейская сборка окрасочного аппарата;

•    экономия краски при распылении;

•    может работать на два краскопульта;

•    максимальная длина шлангов от аппарата до краскопульта - 30-45 метров;

•    окрасочный аппарат можно дополнительно укомплектовать оборудованием для комбинированного распыления, фильтром регулятором воздуха, шлангом на воздух, комбинированным окрасочным пистолетом с соплом.


Комплектация:


•    окрасочный аппарат на колесной телеге;

•    фильтр тонкой очистки для краски;

•    масло для смазки поршневой части;

•    инструкция на русском.


Гарантия


Все покрасочное оборудование проверяется вручную на заводе-изготовителе. На все окрасочное оборудование предоставляется гарантия – 12 месяцев на отсутствие заводского брака. Осуществляется гарантийный и послегарантийный ремонт. Обеспечивается поставка запасных частей и комплектующих. Купить покрасочное оборудование можно со склада в Москве, доставка в регионы осуществляется через любую транспортную компанию.
Характеристики
Артикул
P301-L303-S
Бренд
DSTECH
Страна изготовитель
Южная Корея
Максимальное давление, бар
210
Максимальное сопло
0,025
Максимальная производительность, л/мин
3,7
Тип насоса
Поршневой
Вес нетто, кг
30
"
"Окрасочное оборудование";"Устройства для покраски труб изнутри";;https://navsl.ru/katalog/okrasochnoe-oborudovanie/pokraska-iznutri/ustrojstvo-dlya-pokraski-truby-iznutri-nkp-2-1.html;"Устройство для покраски трубы изнутри NKP-2-1";345400.00;Руб/шт;https://navsl.ruhttps://navsl.ru/image/cache/catalog/i/pc/aa/ad20aed5058836f0c9dd8cde56227083-1000x1000.jpg;https://navsl.ruhttps://navsl.ru/image/cache/catalog/i/pc/aa/372c03ca0931175c05225581a2000c56-1000x1000.jpg;;;;;;;-x-x-;;Aktiv;;;;;;;;;;;;;;;;;;;;Китай;"Устройство NKP-2-1 для покраски внутренних поверхностей труб диаметром Ø = 300 – 900 мм.

Для работы данного устройства также необходимо иметь окрасочный аппарат высокого давления производительностью от 6 л/мин для подачи краски и компрессор для питания пневмопривода вращения распыляющей насадки.

Оборудование для нанесения покрытий на внутренние стенки трубы типа NKP-2-1 вместе с безвоздушным окрасочным аппаратом может использоваться для распыления внутри различных труб, внутренний диаметр которых составляет Ø = 300 – 900 мм.

Краска под высоким давлением от окрасочного аппарата, через окрасочный рукав поступает на устройство NKP-2-1, установленное внутри трубы. На устройстве смонтирован высокоскоростной распылитель с приводом от пневматического двигателя.

Для регулировки скорости вращения необходимо использовать редуктор давления воздуха

Перемещение устройства вдоль трубы осуществляется оператором, которому необходимо тянуть устройство за рукава.

Толщина слоя краски на внутренней поверхности трубы зависит, соответственно, от скорости движения устройства внутри трубы.
Технические характеристики

Диаметр окрашиваемой трубы, мм: 300 – 900;

Давление воздуха на входе, МПа: 0,4 – 0,6;
"
"Окрасочное оборудование";"Окрасочные аппараты";"Бензиновые окрасочные аппараты";https://navsl.ru/katalog/okrasochnoe-oborudovanie/okrasochnye-apparaty/benzinovye-apparaty/schtaer-jupiter-14-d-okrasochnyy-apparat-bezvozdushnyy-dizelnyy.html;"Окрасочный аппарат Schtaer Jupiter 14D";335000.00;Руб/шт;https://navsl.ruhttps://navsl.ru/image/cache/catalog/YMLeb363902d83fe3a087421be15eb77ee7/bezvozdushnie/IMG20d71a2de4dfb531615be0956762e361-1000x1000.jpg;;;;;;;;-x-x-;;;;"230 бар";;;;;;;;;;;;;;12,0;;;;;"Schtaer Jupiter 14D – это безвоздушный дизельный окрасочный аппарат, предназначенный для распыления красок с высокой степенью вязкости. Его также используют при работе с огнезащитными составами, гидроизоляционными материалами, антикоррозионными красками, шпатлевками, цинконаполненными материалами, эмалями, мастиками, грунтовками и другими лакокрасочными материалами, предназначенными для нанесения через поршневой безвоздушный окрасочный аппарат. Сферы применения этой модели разнообразны. Ее используют для покраски стен, фасадов и потолков, металлических конструкций, бассейнов, крыш и куполов. Она может применяться при работе с балками, заборами, мостами и тоннелями, изготовленными из металла. Профессиональный аппарат подходит для нанесения дорожной разметки, но при этом потребуется дополнительное оборудование. Модель обладает высокой производительностью (14 л/мин), работает под давлением 230 Бар при мощности 4 000 Вт.


Комплектация:


•    окрасочный аппарат на двухколесной тележке;

•    шланги (2 шт., диаметр 8 и 10 мм, длиной 0,9 и 15 м соответственно);

•    безвоздушный краскопульт;

•    поворотное реверсивное сопло с соплодержателем;

•    масло для смазки поршневого насоса;

•    инструкция по эксплуатации на русском языке.


Преимущества модели:


•    эффективно работает даже при больших объемах;

•    универсальность: подходит для лакокрасочных материалов с разной степенью вязкости, которые можно распылять с помощью безвоздушного краскопульта;

•    работа на дизеле: позволяет выполнять окраску в условиях отсутствия электросетей;

•    высокая скорость нанесения краски в сочетании с отличным качеством и низкими потерями на красочный туман;

•    равномерное распыление (отсутствие пульсаций);

•    простота эксплуатации и транспортировки;

•    надежность.


Гарантия


Официальная гарантия на окрасочный агрегат SCHTAER JUPITER 14D — 12 месяцев. Сервис, обслуживание, поставка и цены на оригинальные запасные части и комплектующие, гарантийный и послегарантийный ремонт.
Характеристики
Артикул
Jupiter14D
Бренд
SCHTAER
Страна изготовитель
Китай
Максимальное давление, бар
230
Максимальное сопло
0,056
Мощность двигателя, КВт
4
Максимальная производительность, л/мин
12
Тип насоса
Гидропоршневой
Вес нетто, кг
124
Вес в упаковке, кг
149
Размер в упаковке, см
104х75х97
Инструкция для Schtaer Jupiter12 и Jupiter14
2.10 Mb
"
"Окрасочное оборудование";"Окрасочные аппараты";"Разметочные машины";https://navsl.ru/katalog/okrasochnoe-oborudovanie/okrasochnye-apparaty/razmetochnye-mashiny/razmetochnaya-mashina-aktispray-avs-14002dr-gidroporshnevaya-komplekt-na-2-pistoleta-14-l-min-250-bar-benzin.html;"Разметочная машина AktiSpray AvS-14002DR, гидропоршневая, комплект на 2 пистолета (14 л/мин, 250 бар, бензин)";328000.00;Руб/шт;https://navsl.ruhttps://navsl.ru/image/cache/catalog/YMLb863ac0398955e58e960bd772659c7b6/0/IMG96f65f2f148bbf2ab13c404b91862d11-1000x1000.jpg;https://navsl.ruhttps://navsl.ru/image/cache/catalog/YMLb863ac0398955e58e960bd772659c7b6/0/IMG95a3f0723dd229b02e36e0e5d71088fe-1000x1000.jpg;https://navsl.ruhttps://navsl.ru/image/cache/catalog/YMLb863ac0398955e58e960bd772659c7b6/0/IMG63aaaddac5a2c754e5a822bed47acbb2-1000x1000.jpg;https://navsl.ruhttps://navsl.ru/image/cache/catalog/YMLb863ac0398955e58e960bd772659c7b6/0/IMG97183e5023c9a421b10fb4a042eeb924-1000x1000.jpg;;;;;-x-x-;шт;;;;;;;;;;;;;;;;"нет в наличии";;;;;;"Доступная гидропоршневая машина для дорожной разметки.

Разметочная машина AktiSpray AvS-14002DR, комплект на 2 пистолета (14 л/мин, 250 бар, бензин) с насосом гидропоршневого типа.

Высочайшая надежность и производительность по доступной цене.

Работает разметочная машина от бензинового двигателя, краска наносится на поверхность путем направленного краскопульта. Движение разметочной машины не имеет привода и происходит за счет движения оператора, т. е. толкая машину и нажимая рычаги на рукоятках машины.
"
"Окрасочное оборудование";"Окрасочные аппараты";"Безвоздушные окрасочные аппараты";https://navsl.ru/katalog/okrasochnoe-oborudovanie/okrasochnye-apparaty/bezvozdushnie/schtaer-jupiter-14-380v-okrasochnyy-apparat-bezvozdushnyy.html;"Окрасочный аппарат Schtaer Jupiter 14/380";325900.00;Руб/шт;https://navsl.ruhttps://navsl.ru/image/cache/catalog/YMLeb363902d83fe3a087421be15eb77ee7/bezvozdushnie/IMGe70e9d7b20d505e7177baad042b2aaac-1000x1000.jpg;;;;;;;;-x-x-;;;;"227 бар";;;;;;;;;;;;;;12;;;;;"Schtaer Jupiter 14/380В – это безвоздушный окрасочный аппарат, способный распылять материалы с высокой степенью вязкости. Он может использоваться для нанесения огнезащитных составов, гидроизоляционных материалов, антикоррозионных краскок, цинконаполненных материалов, эмалей, мастик, грунтовок, эмаей, мастик и другими лакокрасочными материалами. Сферы применения этой модели разнообразны. Ее используют для покраски стен, фасадов и потолков, металлических конструкций, бассейнов, крыш и куполов. Она может применяться при работе с балками, заборами, мостами и тоннелями, изготовленными из металла.


Профессиональный аппарат подходит для нанесения дорожной разметки, но при этом потребуется дополнительное оборудование. Модель обладает высокой производительностью (12 л/мин), работает под давлением 230 Бар при мощности 4 000 Вт. Максимальное рекомендованной сопло - 0,051"".


Комплектация:


•    окрасочный аппарат на двухколесной тележке;

•    шланги (2 шт., диаметр 8 и 10 мм, длиной 0,9 и 15 м соответственно);

•    безвоздушный краскопульт;

•    поворотное реверсивное сопло с соплодержателем;

•    масло для смазки поршневого насоса;

•    инструкция по эксплуатации на русском языке.


Преимущества модели:


•    эффективно работает даже при больших объемах;

•    универсальность: подходит для лакокрасочных материалов с разной степенью вязкости, которые можно распылять с помощью безвоздушного краскопульта;

•    высокая скорость нанесения краски в сочетании с отличным качеством и низкими потерями на красочный туман;

•    равномерное распыление (отсутствие пульсаций);

•    простота эксплуатации и транспортировки;

•    надежность.


Гарантия


Официальная гарантия на окрасочный агрегат — 12 месяцев. Сервис, обслуживание, поставка и цены на оригинальные запасные части и комплектующие, гарантийный и послегарантийный ремонт.
Характеристики
Артикул
Jupiter14/380
Бренд
SCHTAER
Страна изготовитель
Китай
Максимальное давление, бар
230
Максимальное сопло
0,051
Мощность двигателя, КВт
4
Напряжение, В
380V
Максимальная производительность, л/мин
12
Тип насоса
Гидропоршневой
Вес нетто, кг
114
Вес в упаковке, кг
139
Размер в упаковке, см
104x75x97
Инструкция для Schtaer Jupiter12 и Jupiter14
2.10 Mb
"
